,合约名称,最新价,涨跌,持仓量,成交量,成交金额,买卖价,昨结算,开盘,最低,最高,现手, 
0,ag1802,3760,-12,216,24,1353750,3755/3767,3772,3759,3759,3762,,【走势图】
1,ag1803,3778,-6,436,26,1474800,3666/3893,3784,3780,3778,3786,,【走势图】
2,ag1804,3830,0,148,,,3709/,3830,,,,,【走势图】
3,ag1805,3816,-9,630,92,5278860,3812/3850,3825,3825,3816,3834,,【走势图】
4,ag1806,3839,-5,669136,167738,9665727210,3839/3840,3844,3841,3836,3848,,【走势图】
5,ag1807,3868,-2,288,20,1161030,3736/3903,3870,3868,3860,3881,,【走势图】
6,ag1808,3884,-11,218,,,/3908,3895,,,,,【走势图】
7,ag1809,3904,2,378,8,468660,3789/3926,3902,3907,3904,3907,,【走势图】
8,ag1810,3924,6,152,2,117720,/,3918,3924,3924,3924,,【走势图】
9,ag1811,3941,1,74,2,118230,3743/,3940,3941,3941,3941,,【走势图】
10,ag1812,3949,-1,6614,1590,94192170,3948/3950,3950,3944,3944,3956,,【走势图】
11,ag1901,3997,0,2,,,3900/4045,3997,,,,,【走势图】
