,合约名称,最新价,涨跌,持仓量,成交量,成交金额,买卖价,昨结算,开盘,最低,最高,现手, 
12,al1802,14565,-80,126500,26244,1913466200,14555/14565,14645,14670,14525,14690,,【走势图】
13,al1803,14645,-85,337194,181022,13287834700,14645/14650,14730,14760,14610,14785,,【走势图】
14,al1804,14740,-75,172648,64638,4775834000,14735/14740,14815,14845,14705,14880,,【走势图】
15,al1805,14825,-75,104956,29588,2198330300,14815/14825,14900,14950,14800,14965,,【走势图】
16,al1806,14915,-85,26838,2948,220090750,14910/14920,15000,15045,14900,15045,,【走势图】
17,al1807,15000,-70,3278,202,15186800,14970/15025,15070,15110,14980,15115,,【走势图】
18,al1808,15085,-80,1208,20,1511650,15065/15200,15165,15135,15080,15160,,【走势图】
19,al1809,15180,-30,592,38,2904500,15080/15480,15210,15490,15150,15490,,【走势图】
20,al1810,15165,-50,498,76,5773950,15130/15200,15215,15270,15140,15270,,【走势图】
21,al1811,15280,-65,404,18,1373100,15230/15700,15345,15250,15245,15280,,【走势图】
22,al1812,15320,-95,488,10,768350,15320/15450,15415,15380,15320,15435,,【走势图】
23,al1901,15495,55,44,,,15280/15515,15440,,,,,【走势图】
