,合约名称,最新价,涨跌,持仓量,成交量,成交金额,买卖价,昨结算,开盘,最低,最高,现手, 
32,bu1802,2506,0,12,2,50120,2510/,2506,2506,2506,2506,,【走势图】
33,bu1803,2616,12,88,4,104760,2578/2650,2604,2622,2616,2622,,【走势图】
34,bu1804,2664,0,4,,,2676/2698,2664,,,,,【走势图】
35,bu1805,2752,38,396,436,11955360,2752/2770,2714,2718,2706,2766,,【走势图】
36,bu1806,2778,36,454782,299244,8275842880,2778/2780,2742,2752,2734,2794,,【走势图】
37,bu1807,2832,50,2,4,112320,2616/2946,2782,2784,2784,2832,,【走势图】
38,bu1809,2858,50,1328,136,3872800,2844/2858,2808,2816,2808,2862,,【走势图】
39,bu1812,2906,26,21338,4252,123391920,2906/2910,2880,2882,2874,2924,,【走势图】
40,bu1903,2902,0,24,,,2902/2966,2902,,,,,【走势图】
41,bu1906,2964,24,1990,80,2374520,2964/2980,2940,2940,2940,2980,,【走势图】
42,bu1909,3008,42,520,28,835320,2992/3008,2966,2968,2968,3008,,【走势图】
43,bu1912,3038,50,2348,858,26017800,3030/3038,2988,2980,2980,3050,,【走势图】
