,合约名称,最新价,涨跌,持仓量,成交量,成交金额,买卖价,昨结算,开盘,最低,最高,现手, 
44,cu1802,53500,-60,96122,43916,11735266800,53500/53510,53560,53650,53210,53700,,【走势图】
45,cu1803,53630,-80,214666,185298,49587955700,53620/53630,53710,53760,53310,53840,,【走势图】
46,cu1804,53760,-70,120890,45666,12257728200,53750/53770,53830,53850,53450,53990,,【走势图】
47,cu1805,53910,-60,89162,23290,6267990000,53890/53910,53970,54050,53600,54100,,【走势图】
48,cu1806,54070,-90,47808,3014,813434000,54060/54090,54160,54250,53790,54280,,【走势图】
49,cu1807,54230,-30,28486,738,199908000,54060/54270,54260,54400,53970,54400,,【走势图】
50,cu1808,54430,0,25596,176,47773100,54220/54410,54430,54540,54100,54540,,【走势图】
51,cu1809,54580,-10,19648,354,96312200,54450/54810,54590,54680,54280,54710,,【走势图】
52,cu1810,54800,30,17064,182,49702000,54700/54770,54770,54870,54450,54870,,【走势图】
53,cu1811,54710,-230,1580,16,4375900,54550/55070,54940,54710,54620,54710,,【走势图】
54,cu1812,55090,-30,880,118,32542500,54880/55080,55120,55600,54790,55600,,【走势图】
55,cu1901,55240,100,164,18,4961900,54950/56060,55140,54980,54950,55970,,【走势图】
