,合约名称,最新价,涨跌,持仓量,成交量,成交金额,买卖价,昨结算,开盘,最低,最高,现手, 
67,hc1802,4140,3,30,8,331180,3995/4284,4137,4139,4139,4140,,【走势图】
68,hc1803,4054,4,104,2,81080,4029/4131,4050,4054,4054,4054,,【走势图】
69,hc1804,3865,0,74,,,3910/3996,3865,,,,,【走势图】
70,hc1805,3885,26,711382,493786,19320841740,3885/3887,3859,3923,3883,3945,,【走势图】
71,hc1806,3841,0,18,,,3803/3876,3841,,,,,【走势图】
72,hc1807,3755,0,2,,,3793/3980,3755,,,,,【走势图】
73,hc1808,3820,0,10,,,3835/4046,3820,,,,,【走势图】
74,hc1809,3852,95,36,24,923820,3825/3866,3757,3823,3823,3859,,【走势图】
75,hc1810,3786,47,53116,26872,1021434540,3786/3788,3739,3800,3784,3831,,【走势图】
76,hc1811,3685,0,6,,,3685/3833,3685,,,,,【走势图】
77,hc1812,3691,0,0,,,3654/4095,3691,,,,,【走势图】
78,hc1901,3696,57,3090,1236,45632880,3679/3695,3639,3678,3673,3750,,【走势图】
