,合约名称,最新价,涨跌,持仓量,成交量,成交金额,买卖价,昨结算,开盘,最低,最高,现手, 
79,ni1802,97100,1720,450,184,17885120,96670/98140,95380,96240,96240,97540,,【走势图】
80,ni1803,97690,1270,3712,140,13545820,96940/97760,96420,95760,95760,97840,,【走势图】
81,ni1804,97740,1070,96,10,978720,95430/101540,96670,98400,97740,98400,,【走势图】
82,ni1805,98200,1430,458796,644370,63135996460,98190/98210,96770,97500,97080,98860,,【走势图】
83,ni1806,98470,2020,122,74,7294100,97750/99390,96450,97530,97530,98840,,【走势图】
84,ni1807,98600,1400,47084,12334,1214648840,98630/98680,97200,97850,97550,99280,,【走势图】
85,ni1808,98030,0,70,,,/,98030,,,,,【走势图】
86,ni1809,98980,1300,41072,6562,648641680,99000/99100,97680,98220,97990,99680,,【走势图】
87,ni1810,99420,2540,220,24,2367460,95940/102290,96880,98360,98360,99420,,【走势图】
88,ni1811,98600,0,40,,,98510/100190,98600,,,,,【走势图】
89,ni1812,98280,0,40,,,96960/,98280,,,,,【走势图】
90,ni1901,100090,1650,150,140,13996040,100080/100500,98440,99670,99070,100510,,【走势图】
