,合约名称,最新价,涨跌,持仓量,成交量,成交金额,买卖价,昨结算,开盘,最低,最高,现手, 
91,pb1802,19305,-100,13446,9076,879791600,19305/19310,19405,19550,19270,19550,,【走势图】
92,pb1803,19345,-120,40978,43924,4267920600,19345/19350,19465,19575,19305,19575,,【走势图】
93,pb1804,19325,-100,9282,2446,237279450,19320/19340,19425,19490,19285,19490,,【走势图】
94,pb1805,19320,-100,4848,1622,157066950,19310/19340,19420,19510,19280,19510,,【走势图】
95,pb1806,19260,-185,360,106,10220600,19250/19305,19445,19415,19250,19415,,【走势图】
96,pb1807,19280,-175,148,6,578250,18800/19340,19455,19265,19265,19280,,【走势图】
97,pb1808,19280,-90,86,4,386800,18800/19480,19370,19400,19280,19400,,【走势图】
98,pb1809,19275,-115,170,16,1548750,19210/20045,19390,19395,19275,19430,,【走势图】
99,pb1810,19295,-100,38,4,387100,19245/,19395,19415,19295,19415,,【走势图】
100,pb1811,19370,0,64,,,19090/19695,19370,,,,,【走势图】
101,pb1812,19520,80,8,,,/19695,19440,,,,,【走势图】
102,pb1901,19610,155,24,,,19100/19895,19455,,,,,【走势图】
