,合约名称,最新价,涨跌,持仓量,成交量,成交金额,买卖价,昨结算,开盘,最低,最高,现手, 
103,rb1802,3937,37,4182,260,10260060,3922/3938,3900,3913,3913,3960,,【走势图】
104,rb1803,3936,22,7384,180,7097940,3935/3950,3914,3925,3925,3965,,【走势图】
105,rb1804,3987,32,4420,512,20499240,3970/4021,3955,3997,3987,4026,,【走势图】
106,rb1805,3922,39,3231994,2876086,113399147680,3921/3922,3883,3937,3916,3974,,【走势图】
107,rb1806,3874,38,4190,216,8396120,3852/3904,3836,3880,3869,3908,,【走势图】
108,rb1807,3857,51,382,56,2161880,3755/3901,3806,3856,3846,3872,,【走势图】
109,rb1808,3833,54,418,80,3065940,3804/3873,3779,3831,3821,3848,,【走势图】
110,rb1809,3791,58,4440,880,33414780,3791/3800,3733,3781,3775,3812,,【走势图】
111,rb1810,3741,53,344170,132080,4939761920,3740/3741,3688,3730,3721,3758,,【走势图】
112,rb1811,3692,54,2688,824,30321460,3685/3700,3638,3678,3671,3704,,【走势图】
113,rb1812,3660,42,558,96,3509380,3655/3674,3618,3640,3640,3674,,【走势图】
114,rb1901,3617,29,15630,8736,315562860,3616/3620,3588,3600,3599,3626,,【走势图】
