,合约名称,最新价,涨跌,持仓量,成交量,成交金额,买卖价,昨结算,开盘,最低,最高,现手, 
115,ru1803,13995,5,146,,,13010/,13990,,,,,【走势图】
116,ru1804,14180,65,106,2,283600,13600/14180,14115,14180,14180,14180,,【走势图】
117,ru1805,14075,-20,440730,262396,36933736900,14070/14075,14095,14095,14000,14150,,【走势图】
118,ru1806,14230,60,238,14,1990200,14000/14685,14170,14205,14205,14235,,【走势图】
119,ru1807,14215,-115,260,,,14000/14665,14330,,,,,【走势图】
120,ru1808,14240,0,92,,,14230/,14240,,,,,【走势图】
121,ru1809,14325,-40,74528,27934,4000212900,14320/14330,14365,14340,14245,14390,,【走势图】
122,ru1810,14340,-110,16,,,13770/,14450,,,,,【走势图】
123,ru1811,14500,-10,124,10,1449100,13800/15200,14510,14460,14460,14530,,【走势图】
124,ru1901,16180,-5,10954,2922,472849000,16175/16190,16185,16190,16125,16250,,【走势图】
