,合约名称,最新价,涨跌,持仓量,成交量,成交金额,买卖价,昨结算,开盘,最低,最高,现手, 
137,wr1802,3121,0,0,,,/,3121,,,,,【走势图】
138,wr1803,3121,0,0,,,/,3121,,,,,【走势图】
139,wr1804,3121,0,0,,,/,3121,,,,,【走势图】
140,wr1805,3121,0,0,,,/,3121,,,,,【走势图】
141,wr1806,3121,0,0,,,/,3121,,,,,【走势图】
142,wr1807,3121,0,0,,,/,3121,,,,,【走势图】
143,wr1808,3121,0,0,,,/,3121,,,,,【走势图】
144,wr1809,3121,0,0,,,/,3121,,,,,【走势图】
145,wr1810,3121,0,0,,,/,3121,,,,,【走势图】
146,wr1811,3121,0,0,,,/,3121,,,,,【走势图】
147,wr1812,3121,0,0,,,/,3121,,,,,【走势图】
148,wr1901,3121,0,0,,,/,3121,,,,,【走势图】
