,合约名称,最新价,涨跌,持仓量,成交量,成交金额,买卖价,昨结算,开盘,最低,最高,现手, 
149,zn1802,26165,175,79054,25998,3398515950,26165/26170,25990,26180,26050,26230,,【走势图】
150,zn1803,26170,165,228198,224258,29331144150,26165/26170,26005,26200,26050,26250,,【走势图】
151,zn1804,26155,165,90420,43322,5663197050,26150/26155,25990,26220,26040,26235,,【走势图】
152,zn1805,26105,150,85240,25198,3288532550,26110/26115,25955,26170,26010,26200,,【走势图】
153,zn1806,26040,150,19064,3540,460882450,26005/26060,25890,26100,25950,26140,,【走势图】
154,zn1807,26005,125,1608,376,48840650,25975/26010,25880,26010,25925,26040,,【走势图】
155,zn1808,25925,155,412,66,8551500,25850/25930,25770,25925,25840,25945,,【走势图】
156,zn1809,25800,80,746,112,14481950,25700/25905,25720,25940,25795,25940,,【走势图】
157,zn1810,25815,185,724,28,3609500,25790/25850,25630,26880,24635,26880,,【走势图】
158,zn1811,25770,200,214,6,773100,24945/25780,25570,25770,25770,25770,,【走势图】
159,zn1812,25720,35,82,6,770850,24745/25720,25685,25645,25645,25720,,【走势图】
160,zn1901,25640,145,18,14,1795600,25500/25700,25495,25685,25630,25685,,【走势图】
