,合约名称,最新价,涨跌,持仓量,成交量,成交金额,买卖价,昨结算,开盘,最低,最高,现手, 
0,ag1802,3760,-12.0,216,24,1353750.0,3755/3767,3772,3759,3759,3762,,【走势图】
1,ag1803,3778,-6.0,436,26,1474800.0,3666/3893,3784,3780,3778,3786,,【走势图】
3,ag1805,3816,-9.0,630,92,5278860.0,3812/3850,3825,3825,3816,3834,,【走势图】
4,ag1806,3839,-5.0,669136,167738,9665727210.0,3839/3840,3844,3841,3836,3848,,【走势图】
5,ag1807,3868,-2.0,288,20,1161030.0,3736/3903,3870,3868,3860,3881,,【走势图】
7,ag1809,3904,2.0,378,8,468660.0,3789/3926,3902,3907,3904,3907,,【走势图】
8,ag1810,3924,6.0,152,2,117720.0,/,3918,3924,3924,3924,,【走势图】
9,ag1811,3941,1.0,74,2,118230.0,3743/,3940,3941,3941,3941,,【走势图】
10,ag1812,3949,-1.0,6614,1590,94192170.0,3948/3950,3950,3944,3944,3956,,【走势图】
12,al1802,14565,-80.0,126500,26244,1913466200.0,14555/14565,14645,14670,14525,14690,,【走势图】
13,al1803,14645,-85.0,337194,181022,13287834700.0,14645/14650,14730,14760,14610,14785,,【走势图】
14,al1804,14740,-75.0,172648,64638,4775834000.0,14735/14740,14815,14845,14705,14880,,【走势图】
15,al1805,14825,-75.0,104956,29588,2198330300.0,14815/14825,14900,14950,14800,14965,,【走势图】
16,al1806,14915,-85.0,26838,2948,220090750.0,14910/14920,15000,15045,14900,15045,,【走势图】
17,al1807,15000,-70.0,3278,202,15186800.0,14970/15025,15070,15110,14980,15115,,【走势图】
18,al1808,15085,-80.0,1208,20,1511650.0,15065/15200,15165,15135,15080,15160,,【走势图】
19,al1809,15180,-30.0,592,38,2904500.0,15080/15480,15210,15490,15150,15490,,【走势图】
20,al1810,15165,-50.0,498,76,5773950.0,15130/15200,15215,15270,15140,15270,,【走势图】
21,al1811,15280,-65.0,404,18,1373100.0,15230/15700,15345,15250,15245,15280,,【走势图】
22,al1812,15320,-95.0,488,10,768350.0,15320/15450,15415,15380,15320,15435,,【走势图】
27,au1806,278.65,0.0,273878,72458,20206767000.0,278.65/278.70,278.65,278.90,278.60,279.15,,【走势图】
30,au1812,282.70,0.2,22080,1440,407383300.0,282.65/282.70,282.50,283.55,282.05,283.55,,【走势图】
32,bu1802,2506,0.0,12,2,50120.0,2510/,2506,2506,2506,2506,,【走势图】
33,bu1803,2616,12.0,88,4,104760.0,2578/2650,2604,2622,2616,2622,,【走势图】
35,bu1805,2752,38.0,396,436,11955360.0,2752/2770,2714,2718,2706,2766,,【走势图】
36,bu1806,2778,36.0,454782,299244,8275842880.0,2778/2780,2742,2752,2734,2794,,【走势图】
37,bu1807,2832,50.0,2,4,112320.0,2616/2946,2782,2784,2784,2832,,【走势图】
38,bu1809,2858,50.0,1328,136,3872800.0,2844/2858,2808,2816,2808,2862,,【走势图】
39,bu1812,2906,26.0,21338,4252,123391920.0,2906/2910,2880,2882,2874,2924,,【走势图】
41,bu1906,2964,24.0,1990,80,2374520.0,2964/2980,2940,2940,2940,2980,,【走势图】
42,bu1909,3008,42.0,520,28,835320.0,2992/3008,2966,2968,2968,3008,,【走势图】
43,bu1912,3038,50.0,2348,858,26017800.0,3030/3038,2988,2980,2980,3050,,【走势图】
44,cu1802,53500,-60.0,96122,43916,11735266800.0,53500/53510,53560,53650,53210,53700,,【走势图】
45,cu1803,53630,-80.0,214666,185298,49587955700.0,53620/53630,53710,53760,53310,53840,,【走势图】
46,cu1804,53760,-70.0,120890,45666,12257728200.0,53750/53770,53830,53850,53450,53990,,【走势图】
47,cu1805,53910,-60.0,89162,23290,6267990000.0,53890/53910,53970,54050,53600,54100,,【走势图】
48,cu1806,54070,-90.0,47808,3014,813434000.0,54060/54090,54160,54250,53790,54280,,【走势图】
49,cu1807,54230,-30.0,28486,738,199908000.0,54060/54270,54260,54400,53970,54400,,【走势图】
50,cu1808,54430,0.0,25596,176,47773100.0,54220/54410,54430,54540,54100,54540,,【走势图】
51,cu1809,54580,-10.0,19648,354,96312200.0,54450/54810,54590,54680,54280,54710,,【走势图】
52,cu1810,54800,30.0,17064,182,49702000.0,54700/54770,54770,54870,54450,54870,,【走势图】
53,cu1811,54710,-230.0,1580,16,4375900.0,54550/55070,54940,54710,54620,54710,,【走势图】
54,cu1812,55090,-30.0,880,118,32542500.0,54880/55080,55120,55600,54790,55600,,【走势图】
55,cu1901,55240,100.0,164,18,4961900.0,54950/56060,55140,54980,54950,55970,,【走势图】
67,hc1802,4140,3.0,30,8,331180.0,3995/4284,4137,4139,4139,4140,,【走势图】
68,hc1803,4054,4.0,104,2,81080.0,4029/4131,4050,4054,4054,4054,,【走势图】
70,hc1805,3885,26.0,711382,493786,19320841740.0,3885/3887,3859,3923,3883,3945,,【走势图】
74,hc1809,3852,95.0,36,24,923820.0,3825/3866,3757,3823,3823,3859,,【走势图】
75,hc1810,3786,47.0,53116,26872,1021434540.0,3786/3788,3739,3800,3784,3831,,【走势图】
78,hc1901,3696,57.0,3090,1236,45632880.0,3679/3695,3639,3678,3673,3750,,【走势图】
79,ni1802,97100,1720.0,450,184,17885120.0,96670/98140,95380,96240,96240,97540,,【走势图】
80,ni1803,97690,1270.0,3712,140,13545820.0,96940/97760,96420,95760,95760,97840,,【走势图】
81,ni1804,97740,1070.0,96,10,978720.0,95430/101540,96670,98400,97740,98400,,【走势图】
82,ni1805,98200,1430.0,458796,644370,63135996460.0,98190/98210,96770,97500,97080,98860,,【走势图】
83,ni1806,98470,2020.0,122,74,7294100.0,97750/99390,96450,97530,97530,98840,,【走势图】
84,ni1807,98600,1400.0,47084,12334,1214648840.0,98630/98680,97200,97850,97550,99280,,【走势图】
86,ni1809,98980,1300.0,41072,6562,648641680.0,99000/99100,97680,98220,97990,99680,,【走势图】
87,ni1810,99420,2540.0,220,24,2367460.0,95940/102290,96880,98360,98360,99420,,【走势图】
90,ni1901,100090,1650.0,150,140,13996040.0,100080/100500,98440,99670,99070,100510,,【走势图】
91,pb1802,19305,-100.0,13446,9076,879791600.0,19305/19310,19405,19550,19270,19550,,【走势图】
92,pb1803,19345,-120.0,40978,43924,4267920600.0,19345/19350,19465,19575,19305,19575,,【走势图】
93,pb1804,19325,-100.0,9282,2446,237279450.0,19320/19340,19425,19490,19285,19490,,【走势图】
94,pb1805,19320,-100.0,4848,1622,157066950.0,19310/19340,19420,19510,19280,19510,,【走势图】
95,pb1806,19260,-185.0,360,106,10220600.0,19250/19305,19445,19415,19250,19415,,【走势图】
96,pb1807,19280,-175.0,148,6,578250.0,18800/19340,19455,19265,19265,19280,,【走势图】
97,pb1808,19280,-90.0,86,4,386800.0,18800/19480,19370,19400,19280,19400,,【走势图】
98,pb1809,19275,-115.0,170,16,1548750.0,19210/20045,19390,19395,19275,19430,,【走势图】
99,pb1810,19295,-100.0,38,4,387100.0,19245/,19395,19415,19295,19415,,【走势图】
103,rb1802,3937,37.0,4182,260,10260060.0,3922/3938,3900,3913,3913,3960,,【走势图】
104,rb1803,3936,22.0,7384,180,7097940.0,3935/3950,3914,3925,3925,3965,,【走势图】
105,rb1804,3987,32.0,4420,512,20499240.0,3970/4021,3955,3997,3987,4026,,【走势图】
106,rb1805,3922,39.0,3231994,2876086,1.1339914768e+11,3921/3922,3883,3937,3916,3974,,【走势图】
107,rb1806,3874,38.0,4190,216,8396120.0,3852/3904,3836,3880,3869,3908,,【走势图】
108,rb1807,3857,51.0,382,56,2161880.0,3755/3901,3806,3856,3846,3872,,【走势图】
109,rb1808,3833,54.0,418,80,3065940.0,3804/3873,3779,3831,3821,3848,,【走势图】
110,rb1809,3791,58.0,4440,880,33414780.0,3791/3800,3733,3781,3775,3812,,【走势图】
111,rb1810,3741,53.0,344170,132080,4939761920.0,3740/3741,3688,3730,3721,3758,,【走势图】
112,rb1811,3692,54.0,2688,824,30321460.0,3685/3700,3638,3678,3671,3704,,【走势图】
113,rb1812,3660,42.0,558,96,3509380.0,3655/3674,3618,3640,3640,3674,,【走势图】
114,rb1901,3617,29.0,15630,8736,315562860.0,3616/3620,3588,3600,3599,3626,,【走势图】
116,ru1804,14180,65.0,106,2,283600.0,13600/14180,14115,14180,14180,14180,,【走势图】
117,ru1805,14075,-20.0,440730,262396,36933736900.0,14070/14075,14095,14095,14000,14150,,【走势图】
